"id","unit_type","unit"
"0ce68dca-bbd6-445d-9a3a-1208aa169517","Energy","kg/kWh"
"0e879859-8b88-4ce2-8258-98a664223107","Money","kg/usd"
"14910b54-a13d-425e-bfb2-b1a3a5a07081","Distance","kg/km"
"1920d2b5-0c18-412b-a0e0-178c00dfae4c","DataOverTime","kg/TB-hour"
"2a78b4ed-ecc8-41d6-8b2c-d4ac0fe91242","WeightOverDistance","kg/ton-mile"
"46dc029e-b037-45c6-a503-df1987b2a2b1","Weight","kg/short ton"
"49c81964-a4b2-4da7-be63-56206ecc0079","Area","kg/m2"
"4bef2058-bf18-4cd9-af16-d8111d12da79","Distance","kg/m"
"6501067f-4dba-445a-b105-dc1993658b52","Volume","kg/scf"
"68c9aab3-c69f-4e1b-b84e-4d201d6c5f44","Energy","kg/GJ"
"6ebd51ff-c6fd-4494-8fc0-eb52f94188de","Volume","kg/gal (US)"
"74747542-3c1f-4504-823f-05b09e912a16","Energy","kg/MMBTU"
"7ab07d64-2096-4cf7-96b7-26df3cec59a9","Money","kg/nzd"
"7c6c3730-b1ee-4444-8623-1e3a3a7d9f67","Money","kg/gbp"
"94544af0-c2f2-4994-b80e-2275f7a131b1","WeightOverDistance","kg/tonne-km"
"9cb2e719-ea38-4985-b451-45ee09e1093e","Data","kg/GB"
"abc00545-cd48-4c69-bccb-a1e4aba90cdf","Money","kg/cad"
"ad25fc3c-d0cc-4c65-8429-a7e6c6135f6a","PassengerOverDistance","kg/passenger-km"
"b3332614-0e7b-4aed-a0a0-35b66aeefa70","Number","kg/container-moved"
"bbe7f125-4489-4f84-92ca-bdb53828500b","ContainerOverDistance","kg/TEU-km"
"c0a64b34-90a2-4595-ab26-af8f45528b22","Weight","kg/tonne"
"c3ef29e5-de3b-4bfe-81c7-0b83dc51f5be","Volume","kg/l"
"c42960fa-506b-4e2b-8dcf-54ce62c743fd","Distance","kg/mile"
"d41522d7-2dbe-496d-8fbd-3df370f5faec","Money","kg/eur"
"ddc0ac7f-0d86-454d-b4ae-d42ae57c6ef5","NumberOverTime","kg/CPU-hour"
"df31c6c9-a149-4a3e-b330-bedd6912d738","DataOverTime","kg/GB-hour"
"e0bca3eb-2aa9-4674-a80e-d9a3f08460d5","NumberOverTime","kg/employee-day"
"e1761519-b27b-40ec-9a47-545a50ad532c","Number","kg/number"
"e4c2f1ea-9b09-4be8-a610-696197688b8b","Time","kg/hour"
"e7615ded-6eed-4996-b31e-e5009c5120df","Number","kg/room-night"
"ea9f10f3-37b9-4980-a608-b5d26256c470","NumberOverTime","kg/person-year"
"ec8d9cb3-0bf4-4bbf-a725-4009d83d2d40","PassengerOverDistance","kg/passenger-mile"
"f93eca8f-a6ca-4f29-94c5-2c6b0b03020e","Volume","kg/m3"
"f9b9f125-1fcf-4b88-908d-bf8111742219","Weight","kg/kg"
"fec5aa88-3846-473e-886b-ef7cf085e073","NumberOverTime","kg/instance-hour"